"state","puma22","cd118","stab","PUMA22name","pop20","afact"
"06","00115","14","CA","Alameda County (Northwest)--Castro Valley & Ashland",107913,1 
"06","00116","14","CA","Alameda County (Central)--Hayward City (East)",102035,1 
"06","00117","14","CA","Alameda County (South)--Newark, Union City (West) & Fremont (West) Cities",55782,0.5276 
"06","00117","17","CA","Alameda County (South)--Newark, Union City (West) & Fremont (West) Cities",49939,0.4724 
"06","00118","14","CA","Alameda County (South)--Fremont (Northeast) & Union City (East) Cities",125765,1 
"06","00119","10","CA","Alameda County (Central)--Pleasanton & Dublin (West) Cities",27623,0.2189 
"06","00119","14","CA","Alameda County (Central)--Pleasanton & Dublin (West) Cities",98555,0.7811 
"06","00120","10","CA","Alameda County (East)--Livermore & Dublin (East) Cities",28396,0.2393 
"06","00120","14","CA","Alameda County (East)--Livermore & Dublin (East) Cities",90267,0.7607 
"06","00121","14","CA","Alameda County (South)--Fremont City (Southeast)",57256,0.4949 
"06","00121","17","CA","Alameda County (South)--Fremont City (Southeast)",58431,0.5051 
"06","00122","14","CA","Alameda County (West)--Hayward City (West)",100310,1 
"06","00123","12","CA","Alameda County (Northwest)--Oakland City (San Antonio/Fruitvale)",101468,1 
"06","00300","03","CA","Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties",33415,0.1741 
"06","00300","05","CA","Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties",158517,0.8259 
"06","00700","01","CA","Butte County--Chico City",211632,1 
"06","01100","01","CA","Colusa, Glenn, Tehama & Trinity Counties",116585,0.8786 
"06","01100","02","CA","Colusa, Glenn, Tehama & Trinity Counties",16112,0.1214 
"06","01301","08","CA","Contra Costa County (Far Southwest)--Richmond (Southwest) & San Pablo Cities",129420,1 
"06","01305","10","CA","Contra Costa County (South)--San Ramon City & Danville Town",143688,1 
"06","01308","08","CA","Contra Costa County (Northeast)--Antioch City",61948,0.5156 
"06","01308","10","CA","Contra Costa County (Northeast)--Antioch City",58206,0.4844 
"06","01309","09","CA","Contra Costa County (East)--Brentwood & Oakley Cities",17616,0.1402 
"06","01309","10","CA","Contra Costa County (East)--Brentwood & Oakley Cities",108060,0.8598 
"06","01310","08","CA","Contra Costa County (Far Northwest)--Richmond (North), Hercules & El Cerrito Cities P",140962,1 
